USGS_id,Com_id,Link_id,lat,lon
       05106000,-9999,7086109,48.987789,-95.668182
       05078520,-9999,7040481,47.795300,-96.272133
       05078470,-9999,7053819,47.746620,-96.203247
       05125039,-9999,7111205,47.763351,-91.738281
       05124982,-9999,7110249,47.835423,-91.653671
       05056215,-9999,14299781,48.267181,-98.674461
       05059600,-9999,14251875,47.360565,-97.798836
       05056678,-9999,14267476,47.855549,-98.490730
       05129290,-9999,7152082,48.517731,-93.073326
       05059480,-9999,14828145,46.893719,-96.919670
       05056060,-9999,14294007,48.460571,-99.235855
       05052500,-9999,6676348,46.337738,-96.750557
       05082625,-9999,14440046,47.918758,-97.539940
       05060500,-9999,909020972,47.011822,-97.226418
       05085450,-9999,7069483,48.213661,-96.710838
       05065500,-9999,14144081,47.546894,-97.478699
       05120500,-9999,14172539,48.169743,-100.526756
       05061500,-9999,6689073,46.787830,-96.628960
       05087500,-9999,7069743,48.342434,-96.826759
       05084000,-9999,14434913,48.171658,-97.697014
       05054500,-9999,14278458,47.691692,-99.975487
       05056340,-9999,14293899,48.240273,-99.365616
       05094000,-9999,7083426,48.734982,-96.676949
       05134200,-9999,7741644,48.534996,-94.567062
       05057200,-9999,14269214,47.232033,-98.129242
       05085000,-9999,14434343,48.286564,-97.362671
       05063398,-9999,7027349,47.114891,-96.398117
       05056200,-9999,14299851,48.345528,-98.648109
       05051600,-9999,6675856,46.013279,-97.506859
       05056100,-9999,14293805,48.454231,-99.104027
       05113600,-9999,14042845,48.976135,-103.098160
       05104500,-9999,7086793,48.794308,-95.741005
       05114000,-9999,1090007027,48.995090,-101.961998
       05101000,-9999,14416705,48.788269,-97.659164
       05061000,-9999,6689413,46.858864,-96.317650
       05056239,-9999,14299757,48.319756,-98.952271
       05099400,-9999,14415263,48.862923,-98.003990
       05059700,-9999,14254647,46.624519,-97.541374
       05059715,-9999,14254587,46.684708,-97.473473
       05055300,-9999,14278290,47.908802,-99.408234
       05062000,-9999,6688853,46.966049,-96.667175
       05078230,-9999,7056281,47.844349,-95.860329
       05123510,-9999,14150206,48.587387,-100.833344
       05123400,-9999,14156742,48.611866,-100.442093
       05062500,-9999,7027381,47.259014,-96.240623
       05090000,-9999,14428870,48.432590,-97.427162
       05052000,-9999,6675628,46.170776,-97.006577
       05055400,-9999,14278496,47.820648,-99.267197
       05074500,-9999,7043255,47.963875,-95.287804
       05066500,-9999,14145053,47.408161,-97.054855
       05076000,-9999,7047623,48.176453,-96.184219
       05060000,-9999,14254205,46.868568,-97.095062
       05107500,-9999,7086347,48.911148,-95.926651
       05099600,-9999,14416271,48.913364,-97.920219
       05116500,-9999,14186076,48.378040,-101.576149
       05069000,-9999,9399094,47.607525,-96.826393
       05060100,-9999,14254079,46.912903,-97.038841
       05050000,-9999,909020730,45.861900,-96.572914
       05075000,-9999,7038705,48.040749,-95.815926
       05100000,-9999,14416871,48.982079,-97.518135
       05132000,-9999,22237092,48.196564,-93.803917
       05067500,-9999,6696814,47.415073,-96.769562
       05053000,-9999,6676032,46.470612,-96.782600
       05129115,-9999,7140308,48.264511,-92.565697
       05056000,-9999,14267516,47.802868,-98.712265
       05064000,-9999,7027319,47.238400,-96.794235
       05051300,-9999,6636048,46.152824,-96.578804
       05116000,-9999,14049217,48.360558,-101.497787
       05117500,-9999,14049227,48.249012,-101.393105
       05078000,-9999,7053809,47.897079,-96.069923
       05112000,-9999,7088107,48.986782,-96.475052
       05131500,-9999,7171122,48.396996,-93.543594
       05078500,-9999,7053799,47.886173,-96.277359
       05030500,-9999,6657851,46.367085,-96.016113
       05120000,-9999,14172523,48.154385,-100.732773
       05057000,-9999,14269180,47.435642,-98.022507
       05122000,-9999,14169775,48.543495,-100.493835
       05079000,-9999,7040857,47.771805,-96.610077
       05080000,-9999,7040493,47.797852,-96.807030
       05046000,-9999,6658313,46.210972,-96.212791
       05124480,-9999,7111683,47.921825,-91.546463
       05125000,-9999,7111897,47.843693,-91.690872
       05058000,-9999,14824943,47.034401,-98.082573
       05124000,-9999,939010254,48.990715,-100.959358
       05046475,-9999,6658059,46.274101,-96.578621
       05051500,-9999,6658065,46.267040,-96.592125
       05126210,-9999,7112767,47.842781,-91.799652
     0505152130,-9999,6668291,46.482487,-96.732986
       05051522,-9999,6667943,46.661438,-96.799431
       05127500,7097779,7098203,48.091125,-91.642990
       05058700,-9999,14828617,46.446808,-97.679947
       05059000,-9999,14827685,46.609554,-97.019096
       05059300,-9999,14828151,46.748371,-96.929245
       05059500,-9999,14828149,46.859356,-96.907486
       05054000,-9999,6667867,46.880836,-96.773888
       05064500,-9999,6696830,47.355579,-96.837776
       05129515,-9999,7163988,48.595791,-93.433113
       05070000,-9999,9399066,47.739273,-96.933304
       05133500,-9999,7164038,48.633511,-93.905487
       05082500,-9999,9398232,47.940861,-97.042244
       05092000,-9999,7077522,48.563725,-97.174225
       09309600,-9999,5300997,39.658691,-111.316566
      103087891,-9999,8922743,38.705147,-119.643410
       10336698,-9999,8942877,39.283993,-119.941437
403258112123201,-9999,10395313,40.539154,-112.198792
       10172800,-9999,10395905,40.490952,-112.596504
      102432241,-9999,10409034,38.713459,-114.114441
       10246835,-9999,11390116,38.940372,-115.718369
       10311300,-9999,11432929,39.172241,-119.738998
360956115432801,-9999,12085809,36.176495,-115.732559
360310115303201,-9999,12086411,36.037479,-115.519699
       10311100,-9999,8919967,39.164486,-119.797813
       10308784,-9999,8922761,38.702866,-119.662895
       10336676,-9999,8941685,39.137680,-120.183449
       10336730,-9999,8942501,39.087593,-119.915367
       10336700,-9999,8942879,39.258129,-119.923500
       10129900,-9999,10093082,40.719868,-111.474380
       10133600,-9999,10276878,40.688618,-111.530899
       10311200,-9999,8919959,39.176640,-119.807358
       10310400,-9999,8921935,38.964443,-119.848465
       10308789,-9999,8922717,38.714069,-119.660973
       10348460,-9999,8935432,39.199543,-119.869675
       10347600,-9999,8935786,39.486755,-119.900665
       10147100,-9999,10351594,39.914459,-111.747238
       10172870,-9999,10683178,39.749191,-113.897728
       10322510,-9999,11230180,39.905888,-116.411896
       10172952,-9999,1169706,41.839951,-113.324371
       10343000,-9999,8933376,39.462391,-120.284561
       10336645,-9999,8941733,39.043941,-120.144241
       10167170,-9999,10388500,40.504162,-112.107361
       10322505,-9999,11228832,40.107033,-116.474968
       10322555,-9999,11230228,39.893822,-116.381432
       10310500,-9999,8920579,39.113876,-119.798660
       10166430,-9999,10327201,40.406200,-112.101357
       10243260,-9999,10407562,39.009712,-114.204071
       10215900,-9999,5302465,39.260185,-111.586395
       10336660,-9999,8941693,39.108757,-120.173302
       10316500,-9999,10786444,40.672386,-115.462372
      103225055,-9999,11228062,40.161934,-116.450691
       10308794,-9999,8922665,38.739998,-119.642990
       10338500,-9999,8933876,39.321308,-120.232239
       10133650,-9999,10276856,40.724331,-111.522308
       10149000,-9999,10349162,40.102463,-111.322433
       10249300,-9999,10696957,38.874104,-117.253494
       10244950,-9999,11339045,39.198811,-114.691330
       10347310,-9999,8931976,39.524612,-119.995995
       10343500,-9999,8933522,39.431328,-120.238853
       10338700,-9999,8933890,39.322514,-120.210625
       10249280,-9999,10693693,39.213161,-117.118347
       10023000,-9999,7880800,41.618328,-111.238358
       10156000,-9999,10375650,40.486027,-111.467361
       10245970,-9999,11120313,39.779427,-116.301239
       10322535,-9999,11230250,39.876671,-116.166397
       10145400,-9999,10331031,39.716022,-111.745155
       10172700,-9999,10396937,39.982979,-112.381805
       10205030,-9999,3506561,38.892483,-111.536171
       10308800,-9999,8922549,38.782696,-119.667526
       10133800,-9999,10276836,40.763191,-111.576599
       10322150,-9999,10782696,40.707253,-116.120300
       10020100,-9999,7882578,41.436649,-111.016594
      103366092,-9999,8943677,38.853817,-120.029755
       10299100,-9999,10742454,38.644981,-119.329475
       10348245,-9999,8931774,39.578083,-119.735123
       10336780,-9999,8944453,38.916275,-119.973862
       10349300,-9999,8935822,39.363934,-119.753792
       10146000,-9999,10330245,39.712872,-111.799026
       10172860,-9999,10406554,39.459995,-114.025726
       10173450,-9999,10818086,37.615143,-112.527191
       10243700,-9999,11338977,39.216316,-114.532387
       10168000,-9999,10389562,40.657154,-111.877029
       10313900,-9999,10776466,41.477386,-115.287346
       10341950,-9999,8933152,39.496048,-120.328224
       10291500,-9999,8915907,38.238758,-119.330757
       10289500,-9999,8915933,38.163780,-119.226181
