to_usgs, from_usgs
05288500, "{05287890,05286000,05270700,05275000,05280000,05288580}"
06630000, "{06622700,06625000,06622900,06620000}"
02098206, "{02096960,02097314,0209741955,0209782609,0209734440,02097517}"
05378500, "{05344500,05345000,05355200,05372995,05369500,05370000}"
01154500, "{01144500,01151500,01153000,01152500,01153550,01154000}"
01636500, "{01631000,01634500,01634000,01635500,01636464,01636316}"
05543500, "{05537980,05527500,05541710,05542000,05540500,05539000}"
02080500, "{02066000,02076000,02077670,02077303,02077000,02079640}"
04294000, "{04293500}"
02337170, "{02336490,02337040,02336635,02336526,02336728}"
05536890, "{05536357,05536500,05536340,05536290}"
09415900, "{09415510,09415558,09415645,09415590}"
06652000, "{06639000,06635000,06630000,06646000}"
07281600, "{07275900,07274000,07268000}"
10322800, "{103225055,10322505,10322510,10322555,10322535}"
07126485, "{07126480,07126415,07126300,07126325,07126390}"
05325000, "{05320000,05317000,05316580,05317200,05320500}"
04165710, "{04165500,04159492,04159900,04160600,04159130}"
08040600, "{08033500,08038000,08039100}"
13154500, "{13094000,13108150,13152500,13095500,13095175}"
02087183, "{0208524975,02086500,02086624,02086849,02085070}"
04247000, "{04242640,04243500,04244000,04243783,04245840}"
07105500, "{07104905,07103700,07105000,07105490}"
06877600, "{06876900,06866500,06869500,06869950,06870300}"
07152500, "{07146500,07147800,07152000,07151000,07148111}"
01100000, "{01096500,01092000,01094000,010965852,01099500}"
08136000, "{08131400,08130700,08128000,08128400}"
08096500, "{08093100,08095300,08095400,08095200,08093360}"
02060500, "{02056650,02056900,02056000,02059500,02058400}"
06090800, "{06078200,06089000,06090300,06090500}"
08061750, "{08059400,08059000,08059350,08059590,08061540}"
08331160, "{08329900,08329870,08329835,08330600,08330875}"
12388700, "{12372000,12381400,12377150,12375900,12374250}"
02486000, "{02484760,02485498,02485700,02484500,02483500}"
02148000, "{02147020,02147500,021473415,021473428}"
0423406130, "{04232730,0423401815,04234000,04233255,04233300}"
03354000, "{03353611,03353800,03353910,03353620}"
09379500, "{09378630,09371010,09379200,09372000,09378170}"
01354500, "{01351500,01347000,01348000,01349000,01349150}"
01096500, "{01094500,01096000,01095220,01095375,01095434}"
04191500, "{04190000,04191058,04191444,04188100,04186500}"
06894650, "{06893000,06894200,06894000,06893620,06893578}"
08313000, "{08290000,08279500,08291000,08294210,08302500}"
09506000, "{09505800,09504000,09504500,09505350,09505200}"
09380000, "{09185600,09328920,09379500,09337500,09333500}"
11455350, "{11452500,11454000,11455315,11455335,11455165}"
03072655, "{03062500,03070500,03070260,03072000}"
0212378405, "{02121500,02118500,02118000,02120780,02116500}"
06714215, "{06711780,06711618,06711565,06711575,06713500}"
08159200, "{08158000,08159000,08158600,08158045,08158035}"
01645000, "{01644371,01644390,01644380,01644372,01644375}"
02087500, "{02087183,02087324,0208732885,0208732534,02087359}"
13139510, "{13138000,13137500,13135520,13135500,13137000}"
06610000, "{06601200,06607500,06602400,06609500,06608500}"
06710247, "{06709740,06709530,06710150,06701900,06709910}"
02298554, "{02298488,02298530,02298527,02298492,02298495}"
01375000, "{01374701,01374531,01374941,01374821,01374901}"
04231600, "{04231000,04230500,04228500,04227500,04229500}"
06796000, "{06774000,06794650,06794000,06793000,06795500}"
09295000, "{09288180,09291000,09292500,09279000,09277500}"
06935965, "{06935550,06935955,06935890,06935830,06935770}"
07308500, "{07307028,07301110,07299670,07299540,07308200}"
021564493, "{02153551,02153590,021556525,02153700,02156300}"
08088000, "{08085500,08086290,08086212,08082500,08082700}"
03086000, "{03075070,03083500,03085500,03049500,03049800}"
04235600, "{04234254,04235440,0423406130,04235250,04235000}"
07374000, "{07289000,07295000,07292500,07290650,07290000}"
11377100, "{11374000,11370500,11372000,11376550,11376000}"
06759500, "{06741510,06721000,06730525,06752280}"
02419890, "{02414715,02418230,02419000,02415000}"
07099970, "{07094500,07096250,07099060,07099238,382629104493000}"
01205500, "{01200500,01204000,01202501,01201487,01203510}"
08057000, "{08056500,0804956950,08049500,08050100,08055560}"
