USGS_id,Link_id,lat,lon,area,OBJECTID
"03512000","19730510",35.462791,-83.351631,184,"6"
"03539600","19711775",35.99786,-84.825584,139,"6"
"03535400","22125042",35.951382,-84.181664,86.8,"6"
"03451000","22161688",35.565517,-82.549217,130,"6"
"03593800","19550100",35.180717,-88.211281,104,"6"
"03602500","19518084",35.883991,-87.500183,193,"6"
"03501975","19735653",35.230587,-83.391685,323,"6"
"03505550","19735407",35.304386,-83.652054,145,"6"
"03475000","19752413",36.71751,-81.812927,206,"6"
"03606500","10581939",36.040176,-88.228012,205,"6"
"03473000","19752425",36.650158,-81.847366,303,"6"
"03531500","22539818",36.662949,-83.086617,319,"6"
"03443000","22164302",35.301098,-82.622551,296,"6"
"03510577","19729930",35.382828,-83.289627,360,"6"
"03524000","14640391",36.943905,-82.154694,533,"6"
"03588500","19577851",35.024094,-87.578278,348,"6"
"03539800","19710425",36.084084,-84.682266,518,"6"
"03574500","19621426",34.626133,-86.305725,320,"6"
"03567340","19697599",34.962624,-85.206451,148,"6"
"03459500","22150419",35.634991,-82.989273,350,"6"
"03498500","22130235",35.791687,-83.879715,269,"6"
"03610200","1863920",36.69136,-88.274475,134,"6"
"03567500","19696075",35.01107,-85.202538,428,"6"
"03575100","19621328",34.750622,-86.44828,375,"6"
"03447687","22163560",35.431522,-82.560196,640,"6"
"03532000","22540324",36.531261,-83.647568,685,"6"
"03503000","19736737",35.334579,-83.52182,436,"6"
"03498850","22130125",35.813629,-83.922485,300,"6"
"03540500","19712873",35.981739,-84.561447,764,"6"
"03513000","19730694",35.428421,-83.445801,655,"6"
"03460795","22151081",35.7771,-83.102257,538,"6"
"03597860","19533702",35.472221,-86.464249,425,"6"
"03598000","19534708",35.48687,-86.496567,481,"6"
"03571000","19663107",35.202057,-85.490341,402,"6"
"03604000","19504798",35.495701,-87.833122,447,"6"
"03451500","22162094",35.609848,-82.578156,945,"6"
"03465500","19487554",36.176754,-82.456512,805,"6"
"03527000","14640581",36.645622,-82.760254,1123,"6"
"03599240","19531956",35.588619,-86.789841,916,"6"
"03582000","19608213",35.133434,-86.539856,827,"6"
"03453500","22161966",35.787086,-82.662704,1332,"6"
"03592500","19567882",34.659885,-88.111351,667,"6"
"03599419","19532008",35.570637,-86.871231,1029,"6"
"03490000","19763234",36.608036,-82.561005,671,"6"
"03527220","14640623",36.5746,-82.929932,1154,"6"
"03566000","19678155",35.292885,-84.758888,2298,"6"
"03461500","22150583",35.96014,-83.174782,666,"6"
"03599500","19518240",35.623219,-87.033875,1208,"6"
"03454500","22161878",35.882221,-82.818275,1567,"6"
"03600358","19516762",35.686108,-87.182899,1433.31,"6"
"03528000","14642349",36.422634,-83.395935,1474,"6"
"03601600","19516502",35.717991,-87.264763,1705,"6"
"03604400","19503182",35.812328,-87.778282,702,"6"
"03584600","19594712",35.013855,-86.995567,1805,"6"
"03601990","19515920",35.786903,-87.462471,2048,"6"
"03455000","22162876",35.980465,-83.157837,1858,"6"
"03467609","19488812",36.127007,-83.175667,1688.4,"6"
"03603000","19514640",35.930008,-87.743225,2557,"6"
"03613000","1839453",37.08049,-88.958817,44.2,"6"
"03611260","1839899",37.038277,-88.707703,14.6,"6"
"03612000","1839793",37.337673,-88.927147,244,"6"
"03611500","1840025",37.140961,-88.734444,203000,"6"
"03612600","1841415",37.170284,-89.076309,203000,"6"
"07067500","7521399",36.951065,-90.991974,0.08,"6"
"07048480","8590446",36.055637,-94.17308,0.86,"6"
"07071000","7571155",36.791359,-91.344429,2.85,"6"
"07052000","7607109",37.190334,-93.339272,17.8,"6"
"07048490","8590450",36.049343,-94.162956,1.36,"6"
